Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
124,Sams Club,151.940000,,0.000000,DTCS,88.5,88.5,131,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
125,Sears Q,464.525000,,0.000000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
126,Sears X,468.487500,,0.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
127,Sears Y,464.550000,,0.000000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
128,Sears Z,461.162500,,0.000000,DTCS,88.5,88.5,413,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
129,Sephora V,467.925000,,0.000000,DTCS,88.5,88.5,412,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
130,Sephora W,464.550000,,0.000000,DTCS,88.5,88.5,412,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
131,Sephora X,461.112500,,0.000000,DTCS,88.5,88.5,412,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
132,Sephora Y,467.762500,,0.000000,DTCS,88.5,88.5,412,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
133,Sephora Z,461.087500,,0.000000,DTCS,88.5,88.5,466,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
